一级类目,一级类目ID,二级类目,二级类目ID,三级类目,三级类目ID,关键词,ID,状态,推荐,来源
家装建材,9855,装饰材料,9861,门,9939,卫生间门,36bd4e4442c42866,启用,普通,品牌词
运动户外,1318,户外装备,1462,旅行装备,2691,眼罩,997add95c630f6fa,启用,普通,品牌词
美妆个护,1316,香水彩妆,1387,美甲,1428,美甲工具,00c662a55429b8c0,启用,普通,品牌词
汽车用品,6728,车载电器,6740,安全预警仪,9959,雷达电子狗,8a6633bbab94952b,启用,普通,品牌词
厨具,6196,烹饪锅具,6197,炒锅,6199,不粘锅,6a46f1d6139554f7,启用,普通,品牌词
家具,9847,卧室家具,9848,穿衣镜,9869,全身镜,5c869bffb7777799,启用,普通,品牌词
家具,9847,卧室家具,9848,梳妆台/凳,9868,妆台,11c0736e25e153c2,启用,普通,品牌词
医药保健,9192,营养健康,9193,调节免疫,9201,巴西蜂胶,1d5d85bc8a231011,启用,普通,品牌词
家装建材,9855,厨房卫浴,9857,厨卫挂件,9908,玻璃置物架,7da129b975bb313d,启用,普通,品牌词
家具,9847,储物家具,9852,层架/置物架,9888,家用储物架,2f75aabe2484c023,启用,普通,品牌词
家具,9847,卧室家具,9848,床,9863,儿童多功能家具,a0872f601bfa35a7,启用,普通,品牌词
医药保健,9192,计生情趣,9196,充气/仿真娃娃,14697,充气娃娃,deea7e161cab6273,启用,普通,品牌词
家用电器,737,大 家 电,794,冰箱,878,电冰箱,1743f84a478c48ea,启用,普通,品牌词
医药保健,9192,传统滋补,9195,养生茶饮,12182,党参,7c0fd61dc1e0534f,启用,普通,品牌词
家居家纺,1620,生活日用,1624,浴室用品,1657,卫生间置物架,a0018ea103252b15,启用,普通,品牌词
运动户外,1318,运动服饰,12102,运动配饰,12103,运动帽,c5d3d1199cdf137b,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,乳液面霜,1391,男士面霜,fd4341d5f3b5cd7f,启用,普通,品牌词
服饰内衣,1315,服饰配件,1346,光学镜架/镜片,9789,板材眼镜架,e1db105428a8d365,启用,普通,品牌词
家具,9847,卧室家具,9848,衣柜,11972,卧室家具门,a9668c743d5649b1,启用,普通,品牌词
服饰内衣,1315,服饰配件,1346,光学镜架/镜片,9789,大框眼镜,3e7781370b736fa0,启用,普通,品牌词
电脑、办公,670,文具/耗材,729,学生文具,1449,文具,f6f705286a2d9854,启用,普通,品牌词
食品饮料,1320,茗茶,12202,花草茶,12209,柠檬干,5d44b4d6bfe8a876,启用,普通,品牌词
食品饮料,1320,茗茶,12202,花草茶,12209,洛神花茶,41366677efe58dfa,启用,普通,品牌词
医药保健,9192,传统滋补,9195,人参/西洋参,9230,东北人参,5c3f749c7e3e3369,启用,普通,品牌词
家具,9847,储物家具,9852,墙面搁架,9887,隔板,8f49a2b35d402395,启用,普通,品牌词
生鲜,12218,海鲜水产,12222,海参,12240,即食海参,c19f81d37bfbcfe5,启用,普通,品牌词
食品饮料,1320,休闲食品,1583,蜜饯果干,1593,阿胶枣,b3f2e8bfbf44c2ec,启用,普通,品牌词
美妆个护,1316,清洁用品,1625,皮具护理,1670,护理皮具,26d97763632f6ec1,启用,普通,品牌词
美妆个护,1316,清洁用品,1625,家庭清洁,1663,家私护理,7a782cab9b2b77ad,启用,普通,品牌词
礼品箱包,1672,精品男包,2576,男士手包,5262,手拿男包,649d75d097a4134f,启用,普通,品牌词
家居家纺,1620,家纺,1621,沙发垫套/椅垫,11161,布沙发垫子,b2e6cbdb1b1ac478,启用,普通,品牌词
家具,9847,卧室家具,9848,简易衣柜,9866,组合衣柜,5a1495e64befa6ed,启用,普通,品牌词
家装建材,9855,厨房卫浴,9857,沐浴桶,9917,木浴桶,8e63206d484ae224,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,洁面,1389,去角质去死皮,15b45f4447784a50,启用,普通,品牌词
家用电器,737,厨房小电,752,电炖锅,9249,紫砂锅,026469e50e304629,启用,普通,品牌词
服饰内衣,1315,服饰配件,1346,遮阳帽,9794,凉帽,177021af7115ad57,启用,普通,品牌词
家居家纺,1620,收纳用品,13780,收纳箱/盒,13783,大收纳箱,b4581b7bac9eb22b,启用,普通,品牌词
家用电器,737,生活电器,738,取暖电器,747,电暖气,e449d79a32331dd2,启用,普通,品牌词
服饰内衣,1315,服饰配件,1346,太阳镜,9790,蛤蟆镜,fed1b3c3a8316174,启用,普通,品牌词
家具,9847,客厅家具,9849,凳子,11142,摇椅,73c43135fd51b35d,启用,普通,品牌词
服饰内衣,1315,服饰配件,1346,女士丝巾/围巾/披肩,12021,羊绒围巾披肩,c3344ac082bbca78,启用,普通,品牌词
运动户外,1318,运动服饰,12102,套装,9767,休闲衣裤,33af47840892bf90,启用,普通,品牌词
食品饮料,1320,休闲食品,1583,饼干蛋糕,1595,抹茶,48d3a83feb433e0e,启用,普通,品牌词
家居家纺,1620,收纳用品,13780,收纳箱/盒,13783,双层收纳箱,9c679c8d2c71b0b1,启用,普通,品牌词
生鲜,12218,猪牛羊肉,13581,羊肉,13583,羊肉,5802614b854dd30d,启用,普通,品牌词
珠宝首饰,6144,黄金,6145,黄金转运珠,13065,黄金转运珠戒指,c32c887782a9d2f9,启用,普通,品牌词
家用电器,737,厨房小电,752,料理机,755,婴儿料理机,38ac4d1de1847fd5,启用,普通,品牌词
家居家纺,1620,收纳用品,13780,收纳袋/包,13781,真空压缩袋,fab08568216db7fd,启用,普通,品牌词
家具,9847,办公家具,9854,屏风/办公桌,9893,四人屏风办公桌,e00466dd8cc97b72,启用,普通,品牌词
电脑、办公,670,外设产品,686,网络仪表仪器,12799,仪器仪表,6276a3797fa67874,启用,普通,品牌词
鞋靴,11729,流行男鞋,11730,正装鞋,6906,男士皮鞋,be78c801a5028327,启用,普通,品牌词
玩具乐器,6233,乐器,6291,西洋管弦,6301,管弦乐器,3f4e3ef5fc9f2ac4,启用,普通,品牌词
厨具,6196,厨房配件,6214,储物/置物架,11977,微波炉架,4b1b8671b3d34363,启用,普通,品牌词
家具,9847,卧室家具,9848,梳妆台/凳,9868,韩式梳妆台,2a3ed5c67cbd7086,启用,普通,品牌词
家具,9847,卧室家具,9848,梳妆台/凳,9868,田园梳妆台,4cee9bf2bd98a325,启用,普通,品牌词
医药保健,9192,传统滋补,9195,养生茶饮,12182,黄芪片,8ab0c07a1c98821d,启用,普通,品牌词
家具,9847,餐厅家具,9850,餐边柜,9878,餐边柜,8bc42e4870967dc7,启用,普通,品牌词
家居家纺,1620,家纺,1621,沙发垫套/椅垫,11161,欧式沙发座垫,8fe7d9d39ebdd9e1,启用,普通,品牌词
母婴,1319,妈妈专区,4997,孕妈装,4998,春夏孕妇装,dc1ce3cf5fdf2904,启用,普通,品牌词
礼品箱包,1672,礼品,2599,创意礼品,5266,创意礼物,2f6ee3956a341bdb,启用,普通,品牌词
汽车用品,6728,汽车装饰,6745,车身装饰件,11953,车身饰条,ab96b42e3c36c756,启用,普通,品牌词
母婴,1319,喂养用品,1526,奶瓶奶嘴,7060,宽口径奶瓶奶嘴,783b4ed25bdb2d4e,启用,普通,品牌词
食品饮料,1320,饮料冲调,1585,成人奶粉,12201,老年人奶粉,8972205152a0d6b4,启用,普通,品牌词
家用电器,737,大 家 电,794,平板电视,798,国产液晶电视,6501fcebc66bcf20,启用,普通,品牌词
厨具,6196,水具酒具,6219,保温杯,6223,真空玻璃,f8c669434f5f04b0,启用,普通,品牌词
医药保健,9192,营养成分,9194,左旋肉碱,9214,减肥咖啡,15ef4bea7c820e1b,启用,普通,品牌词
家具,9847,卧室家具,9848,穿衣镜,9869,穿衣镜,ace5fb3f68569f96,启用,普通,品牌词
医药保健,9192,营养成分,9194,左旋肉碱,9214,减肥产品,7d758173d6cb12ad,启用,普通,品牌词
家装建材,9855,厨房卫浴,9857,厨卫挂件,9908,毛巾挂件,3f41b29edcb4a89b,启用,普通,品牌词
家装建材,9855,厨房卫浴,9857,厨卫挂件,9908,毛巾架,657dc934d5324725,启用,普通,品牌词
生鲜,12218,蔬菜,13553,根茎类,13575,山药,1b4532008011e599,启用,普通,品牌词
家装建材,9855,电工电料,9859,智能家居,9927,家用防盗报警器,1067f6d5986df25b,启用,普通,品牌词
运动户外,1318,游泳用品,12154,游泳圈,13798,游泳圈,1ca5ea3ab36c157a,启用,普通,品牌词
礼品箱包,1672,精品男包,2576,单肩/斜挎包,12072,帆布包,7205df8661ca9700,启用,普通,品牌词
服饰内衣,1315,内衣,1345,秋衣秋裤,12015,男士秋衣秋裤,f5ea0a2a904a71ec,启用,普通,品牌词
家装建材,9855,五金工具,9858,电动工具,9922,微型雕刻机,29bd00f612c4acc7,启用,普通,品牌词
医药保健,9192,营养健康,9193,骨骼健康,9202,儿童钙片,e6326c1918bd76b4,启用,普通,品牌词
母婴,1319,营养辅食,1524,DHA,7055,婴儿鱼油,d59b0da293c9a5de,启用,普通,品牌词
家居家纺,1620,家装软饰,11158,装饰摆件,11166,碳雕,54550cd98adbd2eb,启用,普通,品牌词
珠宝首饰,6144,翡翠玉石,6167,项链/吊坠,6168,和田墨玉,9fcc01050c6bd719,启用,普通,品牌词
家装建材,9855,装饰材料,9861,窗,9940,塑钢窗,cdd2c87497a24087,启用,普通,品牌词
电脑、办公,670,文具/耗材,729,财会用品,7372,复写纸,f3b649f28fcbcaef,启用,普通,品牌词
家居家纺,1620,家纺,1621,枕芯,1628,茶叶枕头,3625860757272e6c,启用,普通,品牌词
玩具乐器,6233,模型玩具,6253,仿真模型,6261,吉普车模,e746dbd9ea63f4e5,启用,普通,品牌词
电脑、办公,670,办公设备,716,打印机,717,针式打印机,54938f47689a44e8,启用,普通,品牌词
礼品箱包,1672,潮流女包,2575,双肩包,5258,色丁布,d78307c0dd306237,启用,普通,品牌词
电脑、办公,670,办公设备,716,打印机,717,便携式打印机,1856c1725193066c,启用,普通,品牌词
礼品箱包,1672,礼品,2599,工艺礼品,1445,寿山石,d3d13781ee8e38ca,启用,普通,品牌词
家居家纺,1620,家纺,1621,蚊帐,1632,蒙古包蚊帐,522ebc2a43f59f27,启用,普通,品牌词
礼品箱包,1672,潮流女包,2575,单肩包,5257,单肩包女包,50db416996e286e3,启用,普通,品牌词
母婴,1319,妈妈专区,4997,待产护理,12198,月子牙刷,a771aab50132d24a,启用,普通,品牌词
家居家纺,1620,家装软饰,11158,装饰摆件,11166,装饰挂钩,134cf6ee542c678b,启用,普通,品牌词
家居家纺,1620,家装软饰,11158,墙贴/装饰贴,11965,布艺开关套,67c9c326165724a1,启用,普通,品牌词
电脑、办公,670,办公设备,716,打印机,717,税控打印机,8681b9a55f743b25,启用,普通,品牌词
家居家纺,1620,家纺,1621,窗帘/窗纱,4952,遮光布,0e9184621126c2fb,启用,普通,品牌词
家装建材,9855,五金工具,9858,电动工具,9922,电动雕刻机,33002dbcbbddff5d,启用,普通,品牌词
母婴,1319,寝居服饰,6313,家居床品,6316,定型枕,a4cbd35007d20e3c,启用,普通,品牌词
礼品箱包,1672,礼品,2599,工艺礼品,1445,石雕,663053113ef8cbd2,启用,普通,品牌词
家居家纺,1620,家纺,1621,枕芯,1628,荞麦枕头,a2d25140d17ae752,启用,普通,品牌词
电脑、办公,670,办公设备,716,打印机,717,3d打印机,7ff40742bd03fd0e,启用,普通,品牌词
家居家纺,1620,家装软饰,11158,墙贴/装饰贴,11965,开关贴,4d34f363e8d3ecb4,启用,普通,品牌词
玩具乐器,6233,遥控/电动,6235,遥控车,6245,玩具坦克遥控,bf9dbfcec1b49120,启用,普通,品牌词
家居家纺,1620,生活日用,1624,净化除味,1661,炭雕,860a7457fdcfa91e,停用,普通,品牌词
家居家纺,1620,家装软饰,11158,装饰摆件,11166,欧式饰品摆件,ca8aaae995be8095,启用,普通,品牌词
家具,9847,卧室家具,9848,床,9863,欧式床头,b38390e9be295483,启用,普通,品牌词
家具,9847,阳台/户外,9853,户外家具,9892,吊椅秋千,37a43633994e38ae,启用,普通,品牌词
家居家纺,1620,家装软饰,11158,墙贴/装饰贴,11965,铝箔纸,33bb80c7ab1979db,启用,普通,品牌词
家具,9847,卧室家具,9848,床,9863,美式双人床,8e4c80bf3329350a,启用,普通,品牌词
家具,9847,卧室家具,9848,床,9863,木质单人床,06353d384ad1534b,启用,普通,品牌词
家具,9847,卧室家具,9848,床垫,9864,普通床垫,1acf967e2372dd28,启用,普通,品牌词
家装建材,9855,墙地面材料,9860,油漆/涂料,9931,金属漆,b8b567b79a8af04c,启用,普通,品牌词
家居家纺,1620,家纺,1621,枕芯,1628,磁疗枕,02d7df0c49389425,启用,普通,品牌词
厨具,6196,厨房配件,6214,烘焙/烧烤,6216,糯米纸,f041e0b0eb128f93,启用,普通,品牌词
家居家纺,1620,家纺,1621,枕芯,1628,护颈枕,bf30c7a62067a338,启用,普通,品牌词
家居家纺,1620,家纺,1621,被子,1627,棉絮,f2f002f38809e267,启用,普通,品牌词
珠宝首饰,6144,时尚饰品,6182,胸针,6193,胸针,21879c62fd0601eb,启用,普通,品牌词
家装建材,9855,厨房卫浴,9857,水槽,9913,水槽套餐,7c2951d09f677e8b,启用,普通,品牌词
家居家纺,1620,家纺,1621,沙发垫套/椅垫,11161,客厅沙发坐垫,713a14efaac4edae,启用,普通,品牌词
母婴,1319,妈妈专区,4997,待产护理,12198,孕妇枕,9ebd2e03e3b6ac15,启用,普通,品牌词
电脑、办公,670,办公设备,716,扫描设备,721,激光扫描仪,1bceb9038db55fa4,启用,普通,品牌词
家居家纺,1620,家纺,1621,窗帘/窗纱,4952,卧室窗帘,99e9c45a20307756,启用,普通,品牌词
电脑、办公,670,办公设备,716,多功能一体机,720,网络打印机,1284ee6ac344f052,启用,普通,品牌词
家装建材,9855,墙地面材料,9860,壁纸,9932,金箔纸,7edf49dd1e59e79d,启用,普通,品牌词
电脑、办公,670,文具/耗材,729,纸类,736,热转印纸,3dfb0d16d3019e36,启用,普通,品牌词
家居家纺,1620,家纺,1621,凉席,11963,亚麻凉席,9a7a44238004e3c1,启用,普通,品牌词
汽车用品,6728,车载电器,6740,电源,6749,车载充电器,b252ba8cabe896dd,启用,普通,品牌词
数码,652,数码配件,829,三脚架/云台,848,三脚架装云台,10af566a89319144,启用,普通,品牌词
家具,9847,餐厅家具,9850,餐边柜,9878,厨房酒柜,42952c2f0191985a,启用,普通,品牌词
电脑、办公,670,办公设备,716,多功能一体机,720,激光机,e8c022f0bcee2289,启用,普通,品牌词
电脑、办公,670,文具/耗材,729,本册/便签,7371,标签纸,781301ccd6e29554,启用,普通,品牌词
服饰内衣,1315,内衣,1345,连裤袜/丝袜,9748,天鹅绒,788c421eac74149f,启用,普通,品牌词
汽车用品,6728,汽车装饰,6745,头枕腰靠,11887,竹炭枕,284a2416e915c3d1,启用,普通,品牌词
电脑、办公,670,办公设备,716,装订/封装机,4839,切纸刀,1f0242dbf7c993e1,启用,普通,品牌词
家装建材,9855,墙地面材料,9860,壁纸,9932,木纹纸,39ab0d8d1e5d0f80,启用,普通,品牌词
家居家纺,1620,家纺,1621,枕芯,1628,太空枕,f37fe7bebb937c4c,启用,普通,品牌词
玩具乐器,6233,绘画/DIY,6279,手工彩泥,6281,纸粘土,f4aacd62c35b5acc,启用,普通,品牌词
家装建材,9855,厨房卫浴,9857,厨卫配件,9918,止回阀,6e16cb2d1fb76550,启用,普通,品牌词
汽车用品,6728,车载电器,6740,电源,6749,汽车充电器,30f76edbbcd40f86,启用,普通,品牌词
家装建材,9855,厨房卫浴,9857,厨卫配件,9918,泄压阀,89e9bbb943298739,启用,普通,品牌词
家居家纺,1620,家纺,1621,毛巾浴巾,1634,长绒棉,791e09bd8303963d,启用,普通,品牌词
家装建材,9855,墙地面材料,9860,油漆/涂料,9931,防腐漆,43c2b1df816f43bb,启用,普通,品牌词
电脑、办公,670,办公设备,716,白板,727,白板纸,1c5bcab1ee3f5038,启用,普通,品牌词
家装建材,9855,五金工具,9858,机械锁,9919,玻璃门锁,8d2dd6f4be7a2e26,启用,普通,品牌词
家居家纺,1620,家纺,1621,抱枕靠垫,1633,沙发棉垫子,f9ae7a31fba8de8e,启用,普通,品牌词
家居家纺,1620,家装软饰,11158,帘艺隔断,11964,线帘,5c76babc1f3c7f9a,启用,普通,品牌词
家装建材,9855,五金工具,9858,家用五金,9920,液压铰链,2a47e895edeb82a5,启用,普通,品牌词
家装建材,9855,五金工具,9858,机械锁,9919,执手锁,78f658ee3d285114,启用,普通,品牌词
家用电器,737,个护健康,1276,按摩器,967,按摩仪,dc8437dca3eaa7ac,启用,普通,品牌词
家装建材,9855,五金工具,9858,家用五金,9920,门铰链,0986fdf3b719246c,启用,普通,品牌词
家装建材,9855,五金工具,9858,机械锁,9919,叶片锁,757ba5cf371ac8f3,启用,普通,品牌词
家装建材,9855,墙地面材料,9860,油漆/涂料,9931,丙烯酸乳胶漆,8dac32e9509b83ef,启用,普通,品牌词
家居家纺,1620,生活日用,1624,浴室用品,1657,桌脚垫,bfd7f83c9f0f9546,启用,普通,品牌词
家装建材,9855,厨房卫浴,9857,水槽,9913,水槽单品,d639fb1d58645d7a,启用,普通,品牌词
家居家纺,1620,家纺,1621,床品套件,1626,三件套,014336f8577993de,启用,普通,品牌词
家居家纺,1620,家装软饰,11158,帘艺隔断,11964,珠帘,0a6d4ae9497821f5,启用,普通,品牌词
家具,9847,书房家具,9851,书柜/书架,9881,柜体,9a34018fdb249fab,启用,普通,品牌词
家装建材,9855,厨房卫浴,9857,浴室柜,9911,盆台一体盆,d36ddc5d1e109658,启用,普通,品牌词
家装建材,9855,墙地面材料,9860,油漆/涂料,9931,防锈涂料,b7d679e530efa90b,启用,普通,品牌词
家装建材,9855,厨房卫浴,9857,厨卫配件,9918,安全阀,ff0120f45b571726,启用,普通,品牌词
礼品箱包,1672,潮流女包,2575,手拿包,5256,手拿包斜挎包,9b38df5c7deb1c63,启用,普通,品牌词
厨具,6196,水具酒具,6219,保温杯,6223,水杯,48a75db30cb958b6,启用,普通,品牌词
家装建材,9855,五金工具,9858,家用五金,9920,阻尼铰链,a814bd2b7d02fdb5,启用,普通,品牌词
家装建材,9855,厨房卫浴,9857,龙头,9909,三联龙头,77b1733709b094b0,启用,普通,品牌词
服饰内衣,1315,服饰配件,1346,太阳镜,9790,偏光太阳眼镜,552219a8c06ed96b,启用,普通,品牌词
家装建材,9855,装饰材料,9861,浴霸,11960,风暖式浴霸,07d9f131d221eb75,启用,普通,品牌词
母婴,1319,寝居服饰,6313,安全防护,6317,抽屉锁,73aa4060cbf4c4bd,启用,普通,品牌词
家装建材,9855,厨房卫浴,9857,龙头,9909,单孔龙头,9ddc4f50d67e305a,启用,普通,品牌词
家用电器,737,厨房小电,752,电烧烤炉,13118,烧烤机,ace095c19bd0b62d,启用,普通,品牌词
电脑、办公,670,电脑整机,671,台式机,673,台式机电脑,de8ecb3fe49b983d,启用,普通,品牌词
厨具,6196,水具酒具,6219,保温壶,6224,壶保温,87b7233c89e70418,启用,普通,品牌词
汽车用品,6728,美容清洗,6743,镀晶,13251,纳米漆,dc57ab44d259925b,启用,普通,品牌词
家用电器,737,厨房小电,752,多用途锅,754,电热锅,ae238aebeb033ff0,启用,普通,品牌词
家居家纺,1620,家纺,1621,凉席,11963,粗布凉席,47e9c95ba9ebca39,启用,普通,品牌词
家居家纺,1620,生活日用,1624,浴室用品,1657,毛巾挂,0c4edd2b2f62608a,启用,普通,品牌词
家具,9847,阳台/户外,9853,折叠床,11974,折叠单人床,24e89ec0727d5839,启用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,高跟鞋,9772,尖头高跟鞋子,28a2e52a3bd4648d,启用,普通,品牌词
家装建材,9855,厨房卫浴,9857,橱柜,9915,台面,bfe2d810b5a091b4,启用,普通,品牌词
家装建材,9855,厨房卫浴,9857,陶瓷件组套,9916,半嵌入式洗脸盆,c92f7a2c7924274d,启用,普通,品牌词
汽车用品,6728,汽车装饰,6745,功能小件,11889,装饰烟灰缸,7e2509559ad64e91,启用,普通,品牌词
玩具乐器,6233,模型玩具,6253,仿真模型,6261,拖拉机,8c894267e0b579a8,启用,普通,品牌词
家用电器,737,厨房小电,752,电饼铛,882,烙饼机,452aa9b1d1d70269,启用,普通,品牌词
厨具,6196,茶具/咖啡具,11143,茶具配件,11153,电热炉,c43aa5cdd87daf3d,启用,普通,品牌词
家居家纺,1620,生活日用,1624,浴室用品,1657,浴室角架,4d9ac263ec5044a2,启用,普通,品牌词
厨具,6196,茶具/咖啡具,11143,咖啡具,11155,手动咖啡机,91fbdef0daca9995,启用,普通,品牌词
家用电器,737,厨房小电,752,豆浆机,756,全自动豆浆机,b97d549d588f523d,启用,普通,品牌词
家装建材,9855,厨房卫浴,9857,厨卫配件,9918,单向阀,89f1ab547e530d62,启用,普通,品牌词
家居家纺,1620,家纺,1621,床垫/床褥,1631,1.8米床垫,30c4624933b19135,启用,普通,品牌词
家用电器,737,厨房小电,752,料理机,755,研磨机,66ce6dd4bbb315fc,启用,普通,品牌词
家装建材,9855,墙地面材料,9860,管材管件,9936,球阀,865fc16b6cb21b49,启用,普通,品牌词
礼品箱包,1672,礼品,2599,创意礼品,5266,阳光罐,22e9438299bc925f,启用,普通,品牌词
家装建材,9855,厨房卫浴,9857,厨卫挂件,9908,浴镜,f0f128af3913ebc8,启用,普通,品牌词
家用电器,737,厨房小电,752,电炖锅,9249,电砂锅,b3d13ea2c73f8032,启用,普通,品牌词
宠物生活,6994,出行装备,7000,服饰鞋帽,7030,狗衣服,84b53d2e40ef2b14,启用,普通,品牌词
汽车用品,6728,汽车装饰,6745,头枕腰靠,11887,汽车头枕,f8529c2eafe9cae9,启用,普通,品牌词
汽车用品,6728,汽车装饰,6745,功能小件,11889,手刹套,780fed34001c64aa,启用,普通,品牌词
宠物生活,6994,家居日用,6998,猫狗窝,7017,狗窝,29dbd58f3b8eae04,启用,普通,品牌词
宠物生活,6994,家居日用,6998,笼子/围栏,7022,狗笼,3efded41508aa9d7,启用,普通,品牌词
电脑、办公,670,外设产品,686,键盘,689,有线键盘鼠标,882817ebef244f87,启用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,单鞋,6914,新款高跟女鞋,b2b7bbdf09c954c4,启用,普通,品牌词
家居家纺,1620,家纺,1621,抱枕靠垫,1633,抱枕靠垫,c7f98d1796adbd17,启用,普通,品牌词
服饰内衣,1315,男装,1342,西服,9731,男士西服,3ba45036ddb2ce37,启用,普通,品牌词
宠物生活,6994,家居日用,6998,狗厕所/尿垫,7019,狗厕所,51dfeb4e79562c99,启用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,高跟鞋,9772,尖头高跟女鞋,b36f4b5d90e5f37c,启用,普通,品牌词
家用电器,737,生活电器,738,净水器,898,家用纯水机,2ff41c4b6ebd7e79,启用,普通,品牌词
数码,652,数码配件,829,三脚架/云台,848,云台三脚架,83f701cebcc9a46a,启用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,休闲鞋,6916,女士休闲高跟鞋,b72c510055181162,启用,普通,品牌词
钟表,5025,钟表,5026,瑞表,13673,全球手表,98dc2c85a407e5cd,启用,普通,品牌词
服饰内衣,1315,男装,1342,T恤,1349,男装休闲,13136513423e7880,启用,普通,品牌词
家居家纺,1620,家装软饰,11158,手工/十字绣,11165,十字绣靠垫抱枕,12d18131dd210739,启用,普通,品牌词
家用电器,737,生活电器,738,净水器,898,进口净水器,4a98761e5d745da9,启用,普通,品牌词
食品饮料,1320,粮油调味,1584,方便食品,2679,粥,91f6d57d1d3e8d1e,启用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,凉鞋,6917,平底高跟女鞋,521b479e6ea0ab12,启用,普通,品牌词
数码,652,影音娱乐,828,耳机/耳麦,842,国际耳机,909a5e45b194ebe3,启用,普通,品牌词
宠物生活,6994,宠物零食,6996,狗零食,7006,洁齿,7862b579e7b80b7c,启用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,单鞋,6914,中高跟皮鞋,9328bf9dbea86360,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,乳液面霜,1391,液面霜,2347298848be8458,启用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,高跟鞋,9772,高跟浅口女鞋,a8e0e9770eeb8f22,启用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,高跟鞋,9772,高跟白色单鞋,f140a589a70de46d,启用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,高跟鞋,9772,高跟大码女鞋,14de90c9c5f50b21,启用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,高跟鞋,9772,女式超高跟鞋,7effa59ae1af1b0e,启用,普通,品牌词
美妆个护,1316,身体护理,1383,润肤,1404,身体乳液,a9ba06952f7734f1,启用,普通,品牌词
家用电器,737,生活电器,738,净水器,898,前置净水器,d4839013eded5bc3,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,乳液面霜,1391,控油乳液,8659669f24c85630,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,乳液面霜,1391,水乳液面霜,0eae476eec206c27,启用,普通,品牌词
运动户外,1318,健身训练,1463,椭圆机,12110,运动椭圆机,3f44462e83dd7601,启用,普通,品牌词
母婴,1319,奶粉,1523,孕妈奶粉,7054,孕期奶粉,15b9f52886bdb391,启用,普通,品牌词
运动户外,1318,健身训练,1463,甩脂机,12858,减肥瘦身腰带,8a73ddd27cf42301,启用,普通,品牌词
家用电器,737,生活电器,738,净水器,898,商用净水器,a41015086729016a,启用,普通,品牌词
家居家纺,1620,家装软饰,11158,手工/十字绣,11165,十字绣靠垫,1cdefc863bbd6164,启用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,凉鞋,6917,夏季高跟女鞋,bc07edb8157575d6,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,眼霜,13547,眼霜保湿,c25c30294b383424,启用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,单鞋,6914,女单皮鞋高跟,0babdb9a46f91909,启用,普通,品牌词
运动户外,1318,体育用品,1466,乒乓球,1694,乒乓球机,2e59d54e492349df,启用,普通,品牌词
服饰内衣,1315,服饰配件,1346,光学镜架/镜片,9789,单镜片眼镜,a07c681ab1bd1a5a,启用,普通,品牌词
宠物生活,6994,宠物主粮,6995,猫粮,7003,进口猫粮,79a466d63f4add11,启用,普通,品牌词
家具,9847,书房家具,9851,电脑椅,9882,家庭电脑椅,0449ded8dee41040,启用,普通,品牌词
手机,9987,手机配件,830,蓝牙耳机,863,正品蓝牙耳机,0fafd9144483a374,启用,普通,品牌词
电脑、办公,670,网络产品,699,路由器,700,无线路由,a66ab6334de7da8c,启用,普通,品牌词
母婴,1319,妈妈专区,4997,孕妇护肤,5000,孕期护肤,8bf41adce3d525f3,启用,普通,品牌词
礼品箱包,1672,火机烟具,14226,烟油,14229,烟油原料,3a6c04ed5445df3e,启用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,高跟鞋,9772,真皮高跟女鞋,3869105466139cc5,启用,普通,品牌词
运动户外,1318,健身训练,1463,跑步机,1484,特价跑步机,d44f25505d78a731,启用,普通,品牌词
运动户外,1318,健身训练,1463,甩脂机,12858,减肥瘦身裤,e48b1ed7a4361de7,启用,普通,品牌词
家具,9847,书房家具,9851,电脑椅,9882,黑色电脑椅,0388efab3a6c92cc,启用,普通,品牌词
运动户外,1318,体育用品,1466,乒乓球,1694,乒乓球台,01d16dca74c13423,启用,普通,品牌词
家具,9847,书房家具,9851,电脑椅,9882,白色电脑椅,c118b90c1361f97f,启用,普通,品牌词
运动户外,1318,健身训练,1463,踏步机,12859,迷你椭圆机,557453d4d7d5313d,停用,普通,品牌词
运动户外,1318,体育用品,1466,棋牌麻将,5155,麻将,44ee45b6aa266bbc,启用,普通,品牌词
家具,9847,餐厅家具,9850,餐边柜,9878,餐边收纳柜,08a7a73e7b67095a,启用,普通,品牌词
